gamma,reward_ratio,method,k,budget,n,auc,final_success,solved,mean_capped_first90,shortest_length,terminal_reward,optimal_discounted_return,zero_above_optimal_return
0.995,8,hand_replay,4,100000,12,0.9125000000000001,1.0,12,9416.666666666666,37,2.96,2.141070109900883,False
0.995,8,hand_replay,4,200000,12,0.9562500000000002,1.0,12,9416.666666666666,37,2.96,2.141070109900883,False
0.995,8,hand_replay,12,50000,12,0.0,0.0,0,50000.0,133,10.64,4.522194297472571,False
0.995,8,hand_replay,12,100000,12,0.0,0.0,0,100000.0,133,10.64,4.522194297472571,False
0.995,8,hand_replay,12,200000,12,0.4227083333333333,1.0,12,116416.66666666667,133,10.64,4.522194297472571,False
0.995,8,immediate_skill,4,50000,12,0.9491666666666664,1.0,12,3083.3333333333335,37,2.96,2.141070109900883,False
0.995,8,immediate_skill,4,100000,12,0.9745833333333334,1.0,12,3083.3333333333335,37,2.96,2.141070109900883,False
0.995,8,immediate_skill,4,200000,12,0.9872916666666668,1.0,12,3083.3333333333335,37,2.96,2.141070109900883,False
0.995,8,immediate_skill,12,50000,12,0.8666666666666667,1.0,12,7916.666666666667,133,10.64,4.522194297472571,False
0.995,8,immediate_skill,12,100000,12,0.9333333333333332,1.0,12,7916.666666666667,133,10.64,4.522194297472571,False
0.995,8,immediate_skill,12,200000,12,0.9666666666666668,1.0,12,7916.666666666667,133,10.64,4.522194297472571,False
